names	accessions	source	normalized	description
Fucose_iso_N1	PF07881.11	Pfam	PF07881	L-fucose isomerase, first N-terminal domain
FumaraseC_C	PF10415.8	Pfam	PF10415	Fumarase C C-terminus
Fumble	PF03630.13	Pfam	PF03630	Fumble
Fumerase	PF05681.13	Pfam	PF05681	Fumarate hydratase (Fumerase)
Fumerase_C	PF05683.11	Pfam	PF05683	Fumarase C-terminus
F_bP_aldolase	PF01116.19	Pfam	PF01116	Fructose-bisphosphate aldolase class-II
G3P_acyltransf	PF02660.14	Pfam	PF02660	Glycerol-3-phosphate acyltransferase
G5	PF07501.11	Pfam	PF07501	G5 domain
G6PD_C	PF02781.15	Pfam	PF02781	Glucose-6-phosphate dehydrogenase, C-terminal domain
G6PD_N	PF00479.21	Pfam	PF00479	Glucose-6-phosphate dehydrogenase, NAD binding domain
GAD	PF02938.13	Pfam	PF02938	GAD domain
GAF	PF01590.25	Pfam	PF01590	GAF domain
GAF_2	PF13185.5	Pfam	PF13185	GAF domain
GAF_3	PF13492.5	Pfam	PF13492	GAF domain
gag_pre-integrs	PF13976.5	Pfam	PF13976	GAG-pre-integrase domain
Galactosyl_T	PF01762.20	Pfam	PF01762	Galactosyltransferase
GalKase_gal_bdg	PF10509.8	Pfam	PF10509	Galactokinase galactose-binding signature
GalP_UDP_transf	PF01087.21	Pfam	PF01087	Galactose-1-phosphate uridyl transferase, N-terminal domain
GalP_UDP_tr_C	PF02744.16	Pfam	PF02744	Galactose-1-phosphate uridyl transferase, C-terminal domain
Gal_Lectin	PF02140.17	Pfam	PF02140	Galactose binding lectin domain
Gal_mutarotas_2	PF13802.5	Pfam	PF13802	Galactose mutarotase-like
GARS_A	PF01071.18	Pfam	PF01071	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain
GARS_C	PF02843.15	Pfam	PF02843	Phosphoribosylglycinamide synthetase, C domain
GARS_N	PF02844.14	Pfam	PF02844	Phosphoribosylglycinamide synthetase, N domain
GATase	PF00117.27	Pfam	PF00117	Glutamine amidotransferase class-I
GATase_2	PF00310.20	Pfam	PF00310	Glutamine amidotransferases class-II
GATase_3	PF07685.13	Pfam	PF07685	CobB/CobQ-like glutamine amidotransferase domain
GatB_Yqey	PF02637.17	Pfam	PF02637	GatB domain
GCHY-1	PF02649.13	Pfam	PF02649	Type I GTP cyclohydrolase folE2
GcpE	PF04551.13	Pfam	PF04551	GcpE protein
GCS	PF03074.15	Pfam	PF03074	Glutamate-cysteine ligase
GCS2	PF04107.12	Pfam	PF04107	Glutamate-cysteine ligase family 2(GCS2)
GCV_T	PF01571.20	Pfam	PF01571	Aminomethyltransferase folate-binding domain
GCV_T_C	PF08669.10	Pfam	PF08669	Glycine cleavage T-protein C-terminal barrel domain
GDA1_CD39	PF01150.16	Pfam	PF01150	GDA1/CD39 (nucleoside phosphatase) family
GDC-P	PF02347.15	Pfam	PF02347	Glycine cleavage system P-protein
GDE_C	PF06202.13	Pfam	PF06202	Amylo-alpha-1,6-glucosidase
GDPD	PF03009.16	Pfam	PF03009	Glycerophosphoryl diester phosphodiesterase family
GDP_Man_Dehyd	PF16363.4	Pfam	PF16363	GDP-mannose 4,6 dehydratase
GD_AH_C	PF04295.12	Pfam	PF04295	D-galactarate dehydratase / Altronate hydrolase, C terminus
GED	PF02212.17	Pfam	PF02212	Dynamin GTPase effector domain
GFA	PF04828.13	Pfam	PF04828	Glutathione-dependent formaldehyde-activating enzyme
GFO_IDH_MocA	PF01408.21	Pfam	PF01408	Oxidoreductase family, NAD-binding Rossmann fold
GFO_IDH_MocA_C	PF02894.16	Pfam	PF02894	Oxidoreductase family, C-terminal alpha/beta domain
GGACT	PF06094.11	Pfam	PF06094	Gamma-glutamyl cyclotransferase, AIG2-like
GGDEF	PF00990.20	Pfam	PF00990	Diguanylate cyclase, GGDEF domain
GH97_C	PF14509.5	Pfam	PF14509	Glycosyl-hydrolase 97 C-terminal, oligomerisation
GHMP_kinases_C	PF08544.12	Pfam	PF08544	GHMP kinases C terminal
GHMP_kinases_N	PF00288.25	Pfam	PF00288	GHMP kinases N terminal domain
GIDA	PF01134.21	Pfam	PF01134	Glucose inhibited division protein A
GlcNAc	PF11397.7	Pfam	PF11397	Glycosyltransferase (GlcNAc)
GLF	PF03275.12	Pfam	PF03275	UDP-galactopyranose mutase
Gln-synt_C	PF00120.23	Pfam	PF00120	Glutamine synthetase, catalytic domain
Gln-synt_N	PF03951.18	Pfam	PF03951	Glutamine synthetase, beta-Grasp domain
GlnD_UR_UTase	PF08335.10	Pfam	PF08335	GlnD PII-uridylyltransferase
Globin	PF00042.21	Pfam	PF00042	Globin
Glucan_synthase	PF02364.14	Pfam	PF02364	1,3-beta-glucan synthase component
Glucokinase	PF02685.15	Pfam	PF02685	Glucokinase
Gluconate_2-dh3	PF13618.5	Pfam	PF13618	Gluconate 2-dehydrogenase subunit 3
Glucosamine_iso	PF01182.19	Pfam	PF01182	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
Glucosaminidase	PF01832.19	Pfam	PF01832	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
Glug	PF07581.11	Pfam	PF07581	The GLUG motif
Glutaminase	PF04960.14	Pfam	PF04960	Glutaminase
Glutaredoxin	PF00462.23	Pfam	PF00462	Glutaredoxin
Glu_cyclase_2	PF05096.11	Pfam	PF05096	Glutamine cyclotransferase
Glu_cys_ligase	PF04262.13	Pfam	PF04262	Glutamate-cysteine ligase
Glu_synthase	PF01645.16	Pfam	PF01645	Conserved region in glutamate synthase
Glu_syn_central	PF04898.13	Pfam	PF04898	Glutamate synthase central domain
Glycogen_syn	PF05693.12	Pfam	PF05693	Glycogen synthase
Glycohydro_20b2	PF14845.5	Pfam	PF14845	beta-acetyl hexosaminidase like
Glycolytic	PF00274.18	Pfam	PF00274	Fructose-bisphosphate aldolase class-I
Glycos_transf_3	PF00591.20	Pfam	PF00591	Glycosyl transferase family, a/b domain
Glycos_transf_N	PF04413.15	Pfam	PF04413	3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase)
Glycos_trans_3N	PF02885.16	Pfam	PF02885	Glycosyl transferase family, helical bundle domain
Glyco_hydro_1	PF00232.17	Pfam	PF00232	Glycosyl hydrolase family 1
Glyco_hydro_10	PF00331.19	Pfam	PF00331	Glycosyl hydrolase family 10
Glyco_hydro_100	PF12899.6	Pfam	PF12899	Alkaline and neutral invertase
Glyco_hydro_11	PF00457.16	Pfam	PF00457	Glycosyl hydrolases family 11
Glyco_hydro_12	PF01670.15	Pfam	PF01670	Glycosyl hydrolase family 12
Glyco_hydro_127	PF07944.11	Pfam	PF07944	Beta-L-arabinofuranosidase, GH127
Glyco_hydro_130	PF04041.12	Pfam	PF04041	beta-1,4-mannooligosaccharide phosphorylase
Glyco_hydro_14	PF01373.16	Pfam	PF01373	Glycosyl hydrolase family 14
Glyco_hydro_15	PF00723.20	Pfam	PF00723	Glycosyl hydrolases family 15
Glyco_hydro_16	PF00722.20	Pfam	PF00722	Glycosyl hydrolases family 16
Glyco_hydro_17	PF00332.17	Pfam	PF00332	Glycosyl hydrolases family 17
Glyco_hydro_18	PF00704.27	Pfam	PF00704	Glycosyl hydrolases family 18
Glyco_hydro_19	PF00182.18	Pfam	PF00182	Chitinase class I
Glyco_hydro_2	PF00703.20	Pfam	PF00703	Glycosyl hydrolases family 2
Glyco_hydro_20	PF00728.21	Pfam	PF00728	Glycosyl hydrolase family 20, catalytic domain
Glyco_hydro_20b	PF02838.14	Pfam	PF02838	Glycosyl hydrolase family 20, domain 2
Glyco_hydro_25	PF01183.19	Pfam	PF01183	Glycosyl hydrolases family 25
Glyco_hydro_26	PF02156.14	Pfam	PF02156	Glycosyl hydrolase family 26
Glyco_hydro_28	PF00295.16	Pfam	PF00295	Glycosyl hydrolases family 28
Glyco_hydro_2_C	PF02836.16	Pfam	PF02836	Glycosyl hydrolases family 2, TIM barrel domain
Glyco_hydro_2_N	PF02837.17	Pfam	PF02837	Glycosyl hydrolases family 2, sugar binding domain
Glyco_hydro_3	PF00933.20	Pfam	PF00933	Glycosyl hydrolase family 3 N terminal domain
Glyco_hydro_30	PF02055.15	Pfam	PF02055	Glycosyl hydrolase family 30 TIM-barrel domain
Glyco_hydro_31	PF01055.25	Pfam	PF01055	Glycosyl hydrolases family 31
Glyco_hydro_32C	PF08244.11	Pfam	PF08244	Glycosyl hydrolases family 32 C terminal
Glyco_hydro_32N	PF00251.19	Pfam	PF00251	Glycosyl hydrolases family 32 N-terminal domain
Glyco_hydro_35	PF01301.18	Pfam	PF01301	Glycosyl hydrolases family 35
Glyco_hydro_38	PF01074.21	Pfam	PF01074	Glycosyl hydrolases family 38 N-terminal domain
Glyco_hydro_38C	PF07748.12	Pfam	PF07748	Glycosyl hydrolases family 38 C-terminal domain
Glyco_hydro_39	PF01229.16	Pfam	PF01229	Glycosyl hydrolases family 39
Glyco_hydro_3_C	PF01915.21	Pfam	PF01915	Glycosyl hydrolase family 3 C-terminal domain
Glyco_hydro_42	PF02449.14	Pfam	PF02449	Beta-galactosidase
Glyco_hydro_42C	PF08533.9	Pfam	PF08533	Beta-galactosidase C-terminal domain
Glyco_hydro_42M	PF08532.9	Pfam	PF08532	Beta-galactosidase trimerisation domain
Glyco_hydro_43	PF04616.13	Pfam	PF04616	Glycosyl hydrolases family 43
Glyco_hydro_44	PF12891.6	Pfam	PF12891	Glycoside hydrolase family 44
Glyco_hydro_45	PF02015.15	Pfam	PF02015	Glycosyl hydrolase family 45
Glyco_hydro_46	PF01374.17	Pfam	PF01374	Glycosyl hydrolase family 46
Glyco_hydro_47	PF01532.19	Pfam	PF01532	Glycosyl hydrolase family 47
Glyco_hydro_48	PF02011.14	Pfam	PF02011	Glycosyl hydrolase family 48
Glyco_hydro_49	PF03718.12	Pfam	PF03718	Glycosyl hydrolase family 49
Glyco_hydro_4C	PF11975.7	Pfam	PF11975	Family 4 glycosyl hydrolase C-terminal domain
Glyco_hydro_52	PF03512.12	Pfam	PF03512	Glycosyl hydrolase family 52
Glyco_hydro_53	PF07745.12	Pfam	PF07745	Glycosyl hydrolase family 53
Glyco_hydro_56	PF01630.17	Pfam	PF01630	Hyaluronidase
Glyco_hydro_57	PF03065.14	Pfam	PF03065	Glycosyl hydrolase family 57
Glyco_hydro_59	PF02057.14	Pfam	PF02057	Glycosyl hydrolase family 59
Glyco_hydro_6	PF01341.16	Pfam	PF01341	Glycosyl hydrolases family 6
Glyco_hydro_61	PF03443.13	Pfam	PF03443	Glycosyl hydrolase family 61
Glyco_hydro_62	PF03664.12	Pfam	PF03664	Glycosyl hydrolase family 62
Glyco_hydro_63	PF03200.15	Pfam	PF03200	Glycosyl hydrolase family 63 C-terminal domain
Glyco_hydro_65C	PF03633.14	Pfam	PF03633	Glycosyl hydrolase family 65, C-terminal domain
Glyco_hydro_65m	PF03632.14	Pfam	PF03632	Glycosyl hydrolase family 65 central catalytic domain
Glyco_hydro_65N	PF03636.14	Pfam	PF03636	Glycosyl hydrolase family 65, N-terminal domain
Glyco_hydro_66	PF13199.5	Pfam	PF13199	Glycosyl hydrolase family 66
Glyco_hydro_67C	PF07477.11	Pfam	PF07477	Glycosyl hydrolase family 67 C-terminus
Glyco_hydro_68	PF02435.15	Pfam	PF02435	Levansucrase/Invertase
Glyco_hydro_7	PF00840.19	Pfam	PF00840	Glycosyl hydrolase family 7
Glyco_hydro_71	PF03659.13	Pfam	PF03659	Glycosyl hydrolase family 71
Glyco_hydro_75	PF07335.10	Pfam	PF07335	Fungal chitosanase of glycosyl hydrolase group 75
Glyco_hydro_76	PF03663.13	Pfam	PF03663	Glycosyl hydrolase family 76
Glyco_hydro_77	PF02446.16	Pfam	PF02446	4-alpha-glucanotransferase
Glyco_hydro_79n	PF03662.13	Pfam	PF03662	Glycosyl hydrolase family 79, N-terminal domain
Glyco_hydro_8	PF01270.16	Pfam	PF01270	Glycosyl hydrolases family 8
Glyco_hydro_81	PF03639.12	Pfam	PF03639	Glycosyl hydrolase family 81
Glyco_hydro_85	PF03644.12	Pfam	PF03644	Glycosyl hydrolase family 85
Glyco_hydro_88	PF07470.12	Pfam	PF07470	Glycosyl Hydrolase Family 88
Glyco_hydro_9	PF00759.18	Pfam	PF00759	Glycosyl hydrolase family 9
Glyco_hydro_97	PF10566.8	Pfam	PF10566	Glycoside hydrolase 97
Glyco_hydr_116N	PF12215.7	Pfam	PF12215	beta-glucosidase 2, glycosyl-hydrolase family 116 N-term
Glyco_hyd_65N_2	PF14498.5	Pfam	PF14498	Glycosyl hydrolase family 65, N-terminal domain
Glyco_tranf_2_3	PF13641.5	Pfam	PF13641	Glycosyltransferase like family 2
Glyco_tranf_2_5	PF13712.5	Pfam	PF13712	Glycosyltransferase like family
Glyco_transf_15	PF01793.15	Pfam	PF01793	Glycolipid 2-alpha-mannosyltransferase
Glyco_transf_17	PF04724.12	Pfam	PF04724	Glycosyltransferase family 17
Glyco_transf_20	PF00982.20	Pfam	PF00982	Glycosyltransferase family 20
Glyco_transf_21	PF13506.5	Pfam	PF13506	Glycosyl transferase family 21
Glyco_transf_22	PF03901.16	Pfam	PF03901	Alg9-like mannosyltransferase family
Glyco_transf_25	PF01755.16	Pfam	PF01755	Glycosyltransferase family 25 (LPS biosynthesis protein)
Glyco_transf_29	PF00777.17	Pfam	PF00777	Glycosyltransferase family 29 (sialyltransferase)
Glyco_transf_34	PF05637.11	Pfam	PF05637	galactosyl transferase GMA12/MNN10 family
Glyco_transf_36	PF06165.10	Pfam	PF06165	Glycosyltransferase family 36
Glyco_transf_4	PF13439.5	Pfam	PF13439	Glycosyltransferase Family 4
Glyco_transf_41	PF13844.5	Pfam	PF13844	Glycosyl transferase family 41
Glyco_transf_43	PF03360.15	Pfam	PF03360	Glycosyltransferase family 43
Glyco_transf_5	PF08323.10	Pfam	PF08323	Starch synthase catalytic domain
Glyco_transf_54	PF04666.12	Pfam	PF04666	N-Acetylglucosaminyltransferase-IV (GnT-IV) conserved region
Glyco_transf_64	PF09258.9	Pfam	PF09258	Glycosyl transferase family 64 domain
Glyco_transf_7C	PF02709.13	Pfam	PF02709	N-terminal domain of galactosyltransferase
Glyco_transf_90	PF05686.11	Pfam	PF05686	Glycosyl transferase family 90
Glyco_trans_1_4	PF13692.5	Pfam	PF13692	Glycosyl transferases group 1
Glyco_trans_4_2	PF13477.5	Pfam	PF13477	Glycosyl transferase 4-like
Glyco_trans_4_4	PF13579.5	Pfam	PF13579	Glycosyl transferase 4-like domain
Glyco_trans_A_1	PF09318.9	Pfam	PF09318	Glycosyl transferase 1 domain A
Glyco_tran_WecB	PF03808.12	Pfam	PF03808	Glycosyl transferase WecB/TagA/CpsF family
Glyoxalase	PF00903.24	Pfam	PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
Glyoxalase_2	PF12681.6	Pfam	PF12681	Glyoxalase-like domain
Glyoxalase_4	PF13669.5	Pfam	PF13669	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
Glyphos_transf	PF04464.13	Pfam	PF04464	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase
Gly_kinase	PF02595.14	Pfam	PF02595	Glycerate kinase family
Gly_radical	PF01228.20	Pfam	PF01228	Glycine radical
Gly_transf_sug	PF04488.14	Pfam	PF04488	Glycosyltransferase sugar-binding region containing DXD motif
GMC_oxred_C	PF05199.12	Pfam	PF05199	GMC oxidoreductase
GMC_oxred_N	PF00732.18	Pfam	PF00732	GMC oxidoreductase
GMP_synt_C	PF00958.21	Pfam	PF00958	GMP synthase C terminal domain
GNAT_acetyltr_2	PF13718.5	Pfam	PF13718	GNAT acetyltransferase 2
GNT-I	PF03071.14	Pfam	PF03071	GNT-I family
GPAT_N	PF14829.5	Pfam	PF14829	Glycerol-3-phosphate acyltransferase N-terminal
Gpi1	PF05024.14	Pfam	PF05024	N-acetylglucosaminyl transferase component (Gpi1)
GPI2	PF06432.10	Pfam	PF06432	Phosphatidylinositol N-acetylglucosaminyltransferase
Gp_dh_C	PF02800.19	Pfam	PF02800	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain
Gp_dh_N	PF00044.23	Pfam	PF00044	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
GRAM	PF02893.19	Pfam	PF02893	GRAM domain
GRDB	PF07355.11	Pfam	PF07355	Glycine/sarcosine/betaine reductase selenoprotein B (GRDB)
GrpB	PF04229.13	Pfam	PF04229	GrpB protein
GSDH	PF07995.10	Pfam	PF07995	Glucose / Sorbosone dehydrogenase
GSH-S_ATP	PF02955.15	Pfam	PF02955	Prokaryotic glutathione synthetase, ATP-grasp domain
GSHPx	PF00255.18	Pfam	PF00255	Glutathione peroxidase
GSH_synthase	PF03199.14	Pfam	PF03199	Eukaryotic glutathione synthase
GSH_synth_ATP	PF03917.16	Pfam	PF03917	Eukaryotic glutathione synthase, ATP binding domain
GSP_synth	PF03738.13	Pfam	PF03738	Glutathionylspermidine synthase preATP-grasp
GST_C_3	PF14497.5	Pfam	PF14497	Glutathione S-transferase, C-terminal domain
GST_N	PF02798.19	Pfam	PF02798	Glutathione S-transferase, N-terminal domain
GST_N_2	PF13409.5	Pfam	PF13409	Glutathione S-transferase, N-terminal domain
GT87	PF09594.9	Pfam	PF09594	Glycosyltransferase family 87
GTP_cyclohydro2	PF00925.19	Pfam	PF00925	GTP cyclohydrolase II
GTP_cyclohydroI	PF01227.21	Pfam	PF01227	GTP cyclohydrolase I
Guanylate_cyc	PF00211.19	Pfam	PF00211	Adenylate and Guanylate cyclase catalytic domain
Guanylate_kin	PF00625.20	Pfam	PF00625	Guanylate kinase
GXGXG	PF01493.18	Pfam	PF01493	GXGXG motif
G_glu_transpept	PF01019.20	Pfam	PF01019	Gamma-glutamyltranspeptidase
HAD_2	PF13419.5	Pfam	PF13419	Haloacid dehalogenase-like hydrolase
Haem_bd	PF14376.5	Pfam	PF14376	Haem-binding domain
Ham1p_like	PF01725.15	Pfam	PF01725	Ham1 family
HD	PF01966.21	Pfam	PF01966	HD domain
HD_3	PF13023.5	Pfam	PF13023	HD domain
HD_assoc	PF13286.5	Pfam	PF13286	Phosphohydrolase-associated domain
HEM4	PF02602.14	Pfam	PF02602	Uroporphyrinogen-III synthase HemD
Heme_oxygenase	PF01126.19	Pfam	PF01126	Heme oxygenase
HemN_C	PF06969.15	Pfam	PF06969	HemN C-terminal domain
Hemocyanin_C	PF03723.13	Pfam	PF03723	Hemocyanin, ig-like domain
HemX	PF04375.13	Pfam	PF04375	HemX, putative uroporphyrinogen-III C-methyltransferase
Hepar_II_III	PF07940.12	Pfam	PF07940	Heparinase II/III-like protein
Hexapep_2	PF14602.5	Pfam	PF14602	Hexapeptide repeat of succinyl-transferase
Hexokinase_1	PF00349.20	Pfam	PF00349	Hexokinase
Hexokinase_2	PF03727.15	Pfam	PF03727	Hexokinase
Hexose_dehydrat	PF03559.13	Pfam	PF03559	NDP-hexose 2,3-dehydratase
HGD-D	PF06050.12	Pfam	PF06050	2-hydroxyglutaryl-CoA dehydratase, D-component
hGDE_N	PF14699.5	Pfam	PF14699	N-terminal domain from the human glycogen debranching enzyme
HgmA	PF04209.12	Pfam	PF04209	homogentisate 1,2-dioxygenase
HI0933_like	PF03486.13	Pfam	PF03486	HI0933-like protein
HisG	PF01634.17	Pfam	PF01634	ATP phosphoribosyltransferase
HisG_C	PF08029.10	Pfam	PF08029	HisG, C-terminal domain
Histidinol_dh	PF00815.19	Pfam	PF00815	Histidinol dehydrogenase
His_biosynth	PF00977.20	Pfam	PF00977	Histidine biosynthesis protein
His_Phos_1	PF00300.21	Pfam	PF00300	Histidine phosphatase superfamily (branch 1)
His_Phos_2	PF00328.21	Pfam	PF00328	Histidine phosphatase superfamily (branch 2)
HIT	PF01230.22	Pfam	PF01230	HIT domain
HK	PF02110.14	Pfam	PF02110	Hydroxyethylthiazole kinase family
HMA	PF00403.25	Pfam	PF00403	Heavy-metal-associated domain
HMG-CoA_red	PF00368.17	Pfam	PF00368	Hydroxymethylglutaryl-coenzyme A reductase
HMG_CoA_synt_C	PF08540.9	Pfam	PF08540	Hydroxymethylglutaryl-coenzyme A synthase C terminal
HMG_CoA_synt_N	PF01154.16	Pfam	PF01154	Hydroxymethylglutaryl-coenzyme A synthase N terminal
HNOB	PF07700.14	Pfam	PF07700	Haem-NO-binding
Homoserine_dh	PF00742.18	Pfam	PF00742	Homoserine dehydrogenase
HpaB	PF03241.12	Pfam	PF03241	4-hydroxyphenylacetate 3-hydroxylase C terminal
HpaB_N	PF11794.7	Pfam	PF11794	4-hydroxyphenylacetate 3-hydroxylase N terminal
HpcH_HpaI	PF03328.13	Pfam	PF03328	HpcH/HpaI aldolase/citrate lyase family
HPIH	PF13323.5	Pfam	PF13323	N-terminal domain with HPIH motif
HPPK	PF01288.19	Pfam	PF01288	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)
Hpt	PF01627.22	Pfam	PF01627	Hpt domain
HR1	PF02185.15	Pfam	PF02185	Hr1 repeat
HsdM_N	PF12161.7	Pfam	PF12161	HsdM N-terminal domain
HTS	PF04204.15	Pfam	PF04204	Homoserine O-succinyltransferase
HycI	PF01750.17	Pfam	PF01750	Hydrogenase maturation protease
Hydantoinase_A	PF01968.17	Pfam	PF01968	Hydantoinase/oxoprolinase
Hydantoinase_B	PF02538.13	Pfam	PF02538	Hydantoinase B/oxoprolinase
Hydant_A_N	PF05378.12	Pfam	PF05378	Hydantoinase/oxoprolinase N-terminal region
Hydrolase	PF00702.25	Pfam	PF00702	haloacid dehalogenase-like hydrolase
Hydrolase_3	PF08282.11	Pfam	PF08282	haloacid dehalogenase-like hydrolase
Hydrolase_4	PF12146.7	Pfam	PF12146	Serine aminopeptidase, S33
Hydrolase_6	PF13344.5	Pfam	PF13344	Haloacid dehalogenase-like hydrolase
H_PPase	PF03030.15	Pfam	PF03030	Inorganic H+ pyrophosphatase
ICL	PF00463.20	Pfam	PF00463	Isocitrate lyase family
ICMT	PF04140.13	Pfam	PF04140	Isoprenylcysteine carboxyl methyltransferase (ICMT) family
IDH	PF03971.13	Pfam	PF03971	Monomeric isocitrate dehydrogenase
IDO	PF01231.17	Pfam	PF01231	Indoleamine 2,3-dioxygenase
IF-2B	PF01008.16	Pfam	PF01008	Initiation factor 2 subunit family
IGPD	PF00475.17	Pfam	PF00475	Imidazoleglycerol-phosphate dehydratase
IGPS	PF00218.20	Pfam	PF00218	Indole-3-glycerol phosphate synthase
IlvC	PF01450.18	Pfam	PF01450	Acetohydroxy acid isomeroreductase, catalytic domain
ILVD_EDD	PF00920.20	Pfam	PF00920	Dehydratase family
IlvN	PF07991.11	Pfam	PF07991	Acetohydroxy acid isomeroreductase, NADPH-binding domain
IMPDH	PF00478.24	Pfam	PF00478	IMP dehydrogenase / GMP reductase domain
IMP_cyclohyd	PF07826.10	Pfam	PF07826	IMP cyclohydrolase-like protein
IMS	PF00817.19	Pfam	PF00817	impB/mucB/samB family
Indigoidine_A	PF04227.11	Pfam	PF04227	Indigoidine synthase A like protein
Inhibitor_I78	PF11720.7	Pfam	PF11720	Peptidase inhibitor I78 family
Inhibitor_I9	PF05922.15	Pfam	PF05922	Peptidase inhibitor I9
Inos-1-P_synth	PF01658.16	Pfam	PF01658	Myo-inositol-1-phosphate synthase
Inositol_P	PF00459.24	Pfam	PF00459	Inositol monophosphatase family
Ins134_P3_kin	PF05770.10	Pfam	PF05770	Inositol 1, 3, 4-trisphosphate 5/6-kinase
Ins_P5_2-kin	PF06090.11	Pfam	PF06090	Inositol-pentakisphosphate 2-kinase
Integrase_Zn	PF02022.18	Pfam	PF02022	Integrase Zinc binding domain
Intron_maturas2	PF01348.20	Pfam	PF01348	Type II intron maturase
iPGM_N	PF06415.12	Pfam	PF06415	BPG-independent PGAM N-terminus (iPGM_N)
IPK	PF03770.15	Pfam	PF03770	Inositol polyphosphate kinase
IPPT	PF01715.16	Pfam	PF01715	IPP transferase
IPT	PF01745.15	Pfam	PF01745	Isopentenyl transferase
Isochorismatase	PF00857.19	Pfam	PF00857	Isochorismatase family
Iso_dh	PF00180.19	Pfam	PF00180	Isocitrate/isopropylmalate dehydrogenase
IspD	PF01128.18	Pfam	PF01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
IU_nuc_hydro	PF01156.18	Pfam	PF01156	Inosine-uridine preferring nucleoside hydrolase
JAB	PF01398.20	Pfam	PF01398	JAB1/Mov34/MPN/PAD-1 ubiquitin protease
JmjC	PF02373.21	Pfam	PF02373	JmjC domain, hydroxylase
Josephin	PF02099.16	Pfam	PF02099	Josephin
KA1	PF02149.18	Pfam	PF02149	Kinase associated domain 1
KAsynt_C_assoc	PF16197.4	Pfam	PF16197	Ketoacyl-synthetase C-terminal extension
KDGP_aldolase	PF07071.10	Pfam	PF07071	KDGP aldolase
Kdo	PF06293.13	Pfam	PF06293	Lipopolysaccharide kinase (Kdo/WaaP) family
KduI	PF04962.11	Pfam	PF04962	KduI/IolB family
ketoacyl-synt	PF00109.25	Pfam	PF00109	Beta-ketoacyl synthase, N-terminal domain
Ketoacyl-synt_2	PF13723.5	Pfam	PF13723	Beta-ketoacyl synthase, N-terminal domain
Ketoacyl-synt_C	PF02801.21	Pfam	PF02801	Beta-ketoacyl synthase, C-terminal domain
Kinase-PPPase	PF03618.13	Pfam	PF03618	Kinase/pyrophosphorylase
KIX	PF02172.15	Pfam	PF02172	KIX domain
KR	PF08659.9	Pfam	PF08659	KR domain
KTI12	PF08433.9	Pfam	PF08433	Chromatin associated protein KTI12
Ku_N	PF03731.14	Pfam	PF03731	Ku70/Ku80 N-terminal alpha/beta domain
K_oxygenase	PF13434.5	Pfam	PF13434	L-lysine 6-monooxygenase (NADPH-requiring)
LAB_N	PF07578.10	Pfam	PF07578	Lipid A Biosynthesis N-terminal domain
LacAB_rpiB	PF02502.17	Pfam	PF02502	Ribose/Galactose Isomerase
Lact-deh-memb	PF09330.10	Pfam	PF09330	D-lactate dehydrogenase, membrane binding
Lactamase_B	PF00753.26	Pfam	PF00753	Metallo-beta-lactamase superfamily
Lactamase_B_3	PF13483.5	Pfam	PF13483	Beta-lactamase superfamily domain
Lactonase	PF10282.8	Pfam	PF10282	Lactonase, 7-bladed beta-propeller
Laminin_G_2	PF02210.23	Pfam	PF02210	Laminin G domain
LAM_C	PF12544.7	Pfam	PF12544	Lysine-2,3-aminomutase
LCAT	PF02450.14	Pfam	PF02450	Lecithin:cholesterol acyltransferase
LCCL	PF03815.18	Pfam	PF03815	LCCL domain
LCM	PF04072.13	Pfam	PF04072	Leucine carboxyl methyltransferase
Ldh_1_C	PF02866.17	Pfam	PF02866	lactate/malate dehydrogenase, alpha/beta C-terminal domain
Ldh_1_N	PF00056.22	Pfam	PF00056	lactate/malate dehydrogenase, NAD binding domain
Ldh_2	PF02615.13	Pfam	PF02615	Malate/L-lactate dehydrogenase
Lectin_legB	PF00139.18	Pfam	PF00139	Legume lectin domain
LEH	PF07858.11	Pfam	PF07858	Limonene-1,2-epoxide hydrolase catalytic domain
LeuA_dimer	PF08502.9	Pfam	PF08502	LeuA allosteric (dimerisation) domain
Leuk-A4-hydro_C	PF09127.10	Pfam	PF09127	Leukotriene A4 hydrolase, C-terminal
LigA	PF07746.10	Pfam	PF07746	Aromatic-ring-opening dioxygenase LigAB, LigA subunit
Ligase_CoA	PF00549.18	Pfam	PF00549	CoA-ligase
LigB	PF02900.17	Pfam	PF02900	Catalytic LigB subunit of aromatic ring-opening dioxygenase
LIP	PF03583.13	Pfam	PF03583	Secretory lipase
Lipase3_N	PF03893.15	Pfam	PF03893	Lipase 3 N-terminal region
Lipase_2	PF01674.17	Pfam	PF01674	Lipase (class 2)
Lipase_3	PF01764.24	Pfam	PF01764	Lipase (class 3)
